coingecko_id,name,symbol,market_cap_rank,asset_platform,token_type,homepage,categories,supply_circulating,supply_total,supply_max
kucoin-shares,KuCoin,KCS,87,,native,https://www.kucoin.com/ucenter/signup,"Exchange-based Tokens, Centralized Exchange (CEX) Token, Circle Ventures Portfolio",127421933.7355671,142421933.7355671,
usdtb,USDtb,USDTB,89,ethereum,ethereum,https://usdtb.money/,"Stablecoins, USD Stablecoin, Ethereum Ecosystem, Fiat-backed Stablecoin",1457861717.111978,1457861717.111978,
xdce-crowd-sale,XDC Network,XDC,88,,native,https://xinfin.org,"Smart Contract Platform, Layer 1 (L1), Real World Assets (RWA)",16231429951.15,38011620334.2,
hash-2,Provenance Blockchain,HASH,90,,native,https://www.provenance.io/,"Smart Contract Platform, Layer 1 (L1), Real World Assets (RWA), Proof of Stake (PoS), Provenance Ecosystem",47847728608.0,100000000000.0,100000000000.0
injective-protocol,Injective,INJ,91,ethereum,ethereum,https://injective.com,"Smart Contract Platform, Decentralized Finance (DeFi), BNB Chain Ecosystem, Cosmos Ecosystem, Layer 1 (L1), Ethereum Ecosystem, Real World Assets (RWA), Binance Launchpad, Osmosis Ecosystem, Proof of Stake (PoS), Pantera Capital Portfolio, Secret Ecosystem, YZi Labs (Prev. Binance Labs) Portfolio, GMCI Layer 1 Index, GMCI Index, Made in USA, Coinbase 50 Index",97727220.33,100000000.0,
usdt0,USDT0,USDT0,92,ink,ink,https://usdt0.to/,"Arbitrum Ecosystem, Optimism Ecosystem, Berachain Ecosystem, Bridged USDT, Flare Network Ecosystem, Rootstock Ecosystem, Hyperliquid Ecosystem, Sei Network Ecosystem, Bridged-Tokens, Ink Ecosystem, Bridged Stablecoin, Unichain Ecosystem, HyperEVM Ecosystem, Corn Ecosystem",1362655291.828991,186089146910.5368,
nexo,NEXO,NEXO,93,ethereum,ethereum,https://nexo.com/,"Polygon Ecosystem, Fantom Ecosystem, Ethereum Ecosystem, Alleged SEC Securities, Energi Ecosystem, Sora Ecosystem",1000000000.0,1000000000.0,1000000000.0
optimism,Optimism,OP,94,optimistic-ethereum,optimistic-ethereum,https://app.optimism.io/governance,"Smart Contract Platform, Optimism Ecosystem, Layer 2 (L2), Paradigm Portfolio, Rollup, Andreessen Horowitz (a16z) Portfolio, GMCI Layer 2 Index, GMCI Index, Optimism Superchain Ecosystem, Made in USA",1752186819.0,4294967296.0,4294967296.0
curve-dao-token,Curve DAO,CRV,95,ethereum,ethereum,https://curve.finance,"Decentralized Exchange (DEX), Exchange-based Tokens, Decentralized Finance (DeFi), Yield Farming, Automated Market Maker (AMM), Polygon Ecosystem, Fantom Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Optimism Ecosystem, Base Ecosystem, Curve Ecosystem, DWF Labs Portfolio, Stablecoin Protocol, Energi Ecosystem, Sora Ecosystem, YZi Labs (Prev. Binance Labs) Portfolio, GMCI DeFi Index, GMCI Index, Coinbase 50 Index",1385040905.0,2293134992.446207,3030303031.0
blockstack,Stacks,STX,96,,native,http://stacks.co/,"Infrastructure, Smart Contract Platform, Layer 2 (L2), Bitcoin Sidechains, Stacks Ecosystem, SideChain, GMCI Layer 2 Index, GMCI 30 Index, Blockchain Capital Portfolio, GMCI Index, Made in USA, Coinbase 50 Index",1790921587.40203,1790943750.37495,
celestia,Celestia,TIA,97,,native,https://celestia.org/,"Smart Contract Platform, Cosmos Ecosystem, Layer 1 (L1), Data Availability, Modular Blockchain, Osmosis Ecosystem, eGirl Capital Portfolio, Coinbase Ventures Portfolio, Proof of Stake (PoS), Secret Ecosystem, YZi Labs (Prev. Binance Labs) Portfolio, Delphi Ventures Portfolio, Galaxy Digital Portfolio, Blockchain Capital Portfolio, OKX Ventures Portfolio, Polychain Capital Portfolio",740639106.434135,1139876948.931104,
first-digital-usd,First Digital USD,FDUSD,98,ethereum,ethereum,https://firstdigitallabs.com/,"Stablecoins, USD Stablecoin, BNB Chain Ecosystem, Arbitrum Ecosystem, Ethereum Ecosystem, Sui Ecosystem, TON Ecosystem, Fiat-backed Stablecoin",1301069929.320649,1301069929.320649,
renzo-restaked-eth,Renzo Restaked ETH,EZETH,99,ethereum,ethereum,https://www.renzoprotocol.com/,"BNB Chain Ecosystem, Arbitrum Ecosystem, Liquid Staking Tokens, Linea Ecosystem, Base Ecosystem, Restaking, Liquid Restaking Tokens, Blast Ecosystem, Mode Ecosystem, Fraxtal Ecosystem, Liquid Staking, Unichain Ecosystem",288729.2947318632,288729.2947318632,
falcon-finance,Falcon USD,USDF,100,ethereum,ethereum,https://falcon.finance/,"Stablecoins, USD Stablecoin, BNB Chain Ecosystem, Crypto-backed Stablecoin, Synthetic Dollar",1274297408.947759,1274299408.947759,
